;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
917.3s : 685.508m/z;0;68508;93294;79510;0;0;64935;39420;49888;34985;0;0;0;0;60672;0;153896;69573;37529;70247;107774;40030;83636;0;32203;91442;36150;65973;0;89048;0;42909;41528;110055;52118;54433;50566;69648;78811;0;0;34628;256160;0;0;86347;0;0;0;81882;56476;110902;91425;63528;0;46273;105137;68504;0;68674;88970;136360;64269;55736;0;0;39392;0;55621;49263;90040;0;0;74415;75570;74282;68829;142168;0;0;80640;55001;83566;0;110165;0;39784;70327;39510;39150;51425;0;85251;0;0;96345
146.3s : 453.343m/z;1293860;173751;212449;303270;762523;224464;408642;227306;215405;283876;0;455156;440286;406258;268210;516008;501753;283972;0;0;230889;194747;778212;278566;143404;167426;0;267516;0;0;360511;325164;364561;220024;0;219521;887142;221312;0;347743;486994;0;291269;0;271005;229734;0;0;351661;186200;344121;288019;394093;360840;0;305725;315020;480696;0;347793;369471;485334;224005;260633;434083;257868;263982;916443;163250;358915;244276;227357;503815;169577;462620;105899;263955;0;0;295219;183819;214662;488335;245210;0;165491;193138;252915;290228;746857;273954;341976;321983;255632;289763;148119
887.9s : 482.404m/z;0;52767;67634;54699;79823;0;47854;0;57124;54895;0;61856;0;0;71667;0;131162;78260;87914;74603;125606;54196;94539;0;0;93284;56414;69361;0;86872;0;38890;73017;138038;0;61553;0;82086;62890;67337;0;48179;154810;45522;50362;67069;0;0;0;90377;69825;67923;93641;55683;0;44082;112717;71742;79471;74580;64378;101658;82702;73124;0;0;44442;0;44749;0;88867;0;0;73061;65165;86067;58255;93103;96249;42750;70868;81263;85794;0;102230;0;42259;80184;0;0;79660;0;103201;46044;0;82709
969.3s : 245.175m/z;102701;123105;75580;94194;87610;151146;65365;108906;105915;70263;0;0;0;84681;72379;0;0;80042;70084;119104;61724;140342;80494;0;114168;121823;102263;110948;73637;93568;0;84732;76188;80090;129064;104180;103022;84895;68893;0;0;66853;0;82311;77888;71664;0;0;82676;0;81518;66034;0;0;96177;0;91684;0;81791;121248;0;0;91504;111957;92959;94704;149285;94772;0;95345;0;80368;0;0;124818;75874;125658;0;0;124333;0;76622;74159;71976;66321;83929;75336;97998;117727;0;0;0;70174;0;0;94015
901.2s : 658.509m/z;0;50616;62083;50732;71345;35979;46524;0;34772;32430;0;0;0;32803;70927;0;104764;51548;38455;52285;83419;42239;65055;0;0;71781;71740;86075;0;60704;0;0;39397;80288;35400;38684;0;59082;79574;0;0;0;137855;39087;0;64160;0;0;0;64238;49717;76460;75616;63863;0;34200;73483;58873;38756;55164;68629;94389;47093;50467;0;0;35357;0;40887;0;60960;0;0;54202;59606;56741;73781;104675;0;0;57050;51989;68067;0;80107;0;0;85882;32576;0;82060;0;95068;0;0;65936
146.2s : 475.325m/z;158314;0;49933;62635;144561;50495;81006;47359;48744;60473;0;85966;88955;76654;54646;93225;96751;59516;0;0;54331;43563;120163;53037;0;0;0;57203;0;0;72302;61510;73995;0;0;0;123506;51584;0;68959;82509;0;65924;0;57579;49221;0;0;67081;0;69819;61648;82084;63004;0;66531;60534;92125;0;71772;66240;87762;52355;54686;77424;48783;53113;113277;0;66565;56442;48262;88792;0;89405;0;50963;0;0;55378;48139;44749;79655;49469;0;0;48180;50647;56857;112129;64905;60032;62611;59696;59486;0
538.9s : 373.185m/z;0;0;0;0;94160;0;0;0;101152;146096;825743;875994;696479;358904;387749;429076;550048;365301;196018;310780;406931;241246;272659;162156;86921;267796;585532;313645;788935;358839;659046;243153;469238;263112;314618;149790;264091;138147;308821;410435;542630;200501;158726;464324;134398;199923;0;0;416969;416455;316665;383927;355704;504179;647550;644748;367677;570191;339949;247797;591025;407857;266793;236672;731176;358843;213994;709893;383199;540043;254810;237655;845121;372891;355065;255961;445345;366111;795877;348186;360444;297279;214363;464020;306531;137571;152504;312958;143368;371885;136894;432084;273542;242836;344637;176192
567.4s : 387.201m/z;0;0;0;0;83212;0;0;0;142660;199649;2142819;2249548;1866373;1171546;1154306;1208976;1530203;1017617;501516;810825;995962;759615;705622;352867;208761;725414;1442181;863572;2108044;956366;1723673;627027;1178126;644731;903587;428226;813118;335867;777195;1069491;1345501;537763;409189;1191836;336806;520504;0;0;1281134;1102888;845862;946388;893980;1312481;1736655;1856296;1006841;1472814;897009;667264;1525390;1023463;649664;566726;1943249;885350;588118;1799427;956607;1314638;579620;611076;1954153;868062;828800;710661;1069464;880883;2123386;893262;880702;633547;534299;1342370;830394;380660;380294;864771;376055;913251;352150;1431326;795130;591969;931899;556222
567.4s : 404.227m/z;0;0;0;0;0;0;0;0;64315;84057;291760;306779;284296;241014;243528;246127;276420;223373;146450;186569;222153;185219;188002;122910;86501;193134;278096;216620;311345;218325;274311;174981;238676;173906;212810;135670;184567;112064;191416;227784;235987;156563;128442;219317;112118;149089;0;0;244897;231557;208061;206378;214194;247524;268360;275685;224575;264513;209433;183880;253095;223489;172145;162472;283388;198834;162364;271396;214697;231639;155610;163824;278307;201676;195435;180434;226607;210575;295335;197716;201520;172885;148991;231091;196295;123110;116631;205577;124334;199962;112829;239890;192428;162047;182539;152014
919.9s : 619.438m/z;0;60952;74706;75626;39377;0;57098;0;49105;0;0;0;0;0;46841;0;102424;60781;49505;65855;89055;43189;81956;0;0;79682;40653;57463;36686;70957;0;37650;45172;93911;42478;58410;68064;64400;65074;40090;0;39544;124900;0;0;72680;0;0;0;74613;60288;74455;78324;45060;0;49222;85942;62611;52960;69703;59662;97489;72438;60288;0;0;38283;0;47725;48354;81103;0;0;66407;78797;72404;59598;95634;0;0;67425;57584;76954;0;86592;0;42008;58344;0;0;49048;0;78256;0;0;74932
903.2s : 570.457m/z;0;47898;62215;55977;68933;0;47753;0;43844;0;0;0;0;0;70634;0;0;60857;59630;65402;0;47359;79377;0;0;81311;71654;84429;0;71297;0;0;49281;106029;38517;47979;36705;68134;78047;42756;0;37390;0;0;38067;67835;0;0;0;76896;58938;76179;89948;58779;0;41154;0;63371;55089;65278;69094;112137;66473;63286;0;0;36763;0;43070;0;74431;0;0;63543;69161;74215;74451;0;0;0;62071;63106;77436;0;0;0;35665;88402;34495;0;84367;0;105738;0;0;72636
801.4s : 181.086m/z;148775;168949;0;170023;73803;202413;95642;99938;0;0;0;0;0;140982;108451;88245;79663;116245;0;101629;0;125809;0;0;99489;124080;65250;96374;119663;78758;89053;93535;0;0;162358;199324;226754;72596;0;0;66506;84640;0;82800;95189;110693;0;0;163343;0;80359;0;0;0;81798;0;153402;0;0;126294;0;0;0;146064;83073;88383;227915;110940;0;80585;0;79130;0;0;156144;96374;100810;0;0;106423;0;60134;68436;133329;0;122532;0;83273;121291;64533;0;177840;116631;0;0;108324
801.4s : 107.049m/z;150846;175652;0;163572;63587;197900;92253;92345;0;0;0;0;0;133529;104805;89706;75416;113419;0;98678;0;120857;0;0;101492;116059;61209;92272;114422;76632;86571;95453;0;0;155923;195898;225966;68253;0;0;64471;81994;0;78436;92574;106215;0;0;167214;0;78836;0;0;0;81418;0;149630;0;0;121274;0;0;0;144410;85011;84961;222952;108412;0;77316;0;77941;0;0;147202;89847;99714;0;0;101488;0;0;68793;126617;0;112134;59980;81021;119470;0;0;171590;112578;0;0;103302
912.9s : 834.612m/z;0;71998;81296;73419;0;32515;68367;52117;0;0;0;0;0;0;58401;0;89599;65021;0;52358;68936;36611;65713;0;0;77319;38964;70632;0;75820;0;42971;0;66610;58308;33887;37312;59398;83892;0;0;0;127400;0;0;71140;0;0;0;67052;46274;99514;66147;71897;0;0;77689;59243;0;53759;81788;93835;0;0;0;0;41995;0;56777;51294;61227;0;0;63968;64746;46973;63354;104236;0;0;72439;49651;55347;0;74525;0;38813;74194;45276;43730;48190;0;62503;0;0;73335
917.2s : 707.488m/z;0;53272;62114;60328;33053.41353;0;49132;31770;37991;0;0;0;0;0;41864;0;74975;48573;0;51287;64352;0;58972;0;0;61879;37308;49380;0;54981;0;36424;33796;67622;0;43832;49132;51233;55743;0;0;0;98349;0;0;61904;0;0;0;56111;45560;64575;60743;43846;0;36394;64503;48459;0;49800;55051;73820;47397;44277;0;0;0;0;45300;43915;57539;0;0;52045;61018;50694;48251;77521;0;0;57644;38641;54123;0;65959;0;36048;51696;0;33607;40484;0;58219;0;0;61043
801.4s : 310.237m/z;109788;136783;0;140920;62408;135183;92432;91155;68982;0;0;0;0;120327;102424;92988;82161;103516;0;99676;0;110136;0;69084;101872;115350;0;92659;83877;74194;70009;94696;0;67914;115573;153178;123711;77132;0;0;0;89796;0;64470;99036;107183;0;0;118204;65529;90187;0;0;0;70921;0;128060;0;61618;111241;0;73805;0;127312;70103;82474;151474;82278;0;63948;0;85641;0;0;123671;99523;91602;0;0;90740;0;72474;73357;95623;0;103743;75477;88418;106703;63197;0;108553;105388;0;0;104053
923.1s : 482.404m/z;0;77606;119682;111845;0;0;69428;0;99068;51697;0;0;0;0;66133;0;247014;122617;137495;137432;234523;68967;169726;0;63507;144879;0;80675;0;127172;0;62737;103921;236342;71421;141543;98654;116645;83473;116208;0;83437;316565;0;83112;115034;0;0;0;145366;115469;105330;152547;69048;0;78018;200458;114402;159298;132107;87177;193415;169612;122294;0;0;65970;0;68965;0;179526;55684;0;122550;97280;159310;95696;156284;59598;68412;126836;105505;132648;0;156171;0;60241;107777;0;0;71428;0;163231;70441;0;135206
567.4s : 409.183m/z;0;0;0;0;0;0;0;0;0;69891;202668;210889;202608;165141;171867;173409;200493;164160;113163;143914;161365;141309;137869;100679;72613;143692;237463;156098;253894;164837;215923;136899;179148;127042;152115;103392;152869;89927;138796;159437;183453;127177;104189;184479;92463;112723;0;0;176217;170874;157602;148976;161532;169788;209776;209430;171453;192724;154459;141190;174902;159580;134059;122567;207567;150278;120213;196354;161666;176094;121293;126679;201026;146836;155491;135045;157772;151119;211095;146439;154007;123820;112995;176217;146262;98304;96687;141466;88736;151385;93587;172838;143732;129319;133130;122603
586.9s : 423.198m/z;0;0;0;0;0;0;0;0;0;0;202493;207347;200810;198643;180189;176081;184470;185621;118070;176309;184467;223372;181284;95541;81223;183478;255155;198380;259991;198429;243868;149211;207299;153207;201932;133410;184963;91094;160280;165822;182850;140967;103039;191663;102216;126410;0;0;210434;179005;178013;162472;156364;168043;223987;212756;203096;175014;176793;200503;167685;166314;162568;144419;233378;176249;177876;219249;168244;193453;120731;143492;193589;146341;209984;157061;205468;151489;218339;178898;160574;114845;139232;197218;159324;113395;108344;175203;125720;154944;99222;187578;158703;127938;137884;177387
731.4s : 299.221m/z;0;0;0;0;0;0;0;0;0;0;648912;815245;745497;457644;416126;483329;698407;503881;306776;357994;440054;390626;450547;120221;86041;332950;446356;330823;680014;381920;642568;228998;486477;281048;285426;155311;207718;145038;225056;377258;405977;202404;256146;396705;113932;200419;0;0;437748;412263;308365;304205;330248;385128;425778;634295;373352;564651;331325;218231;426424;306157;214726;145347;520468;221841;179091;380984;350796;333401;191597;222082;472934;282634;189594;279169;316440;352509;825540;301672;289516;201789;219211;406840;306617;0;0;295402;0;82879;0;422433;247147;150409;172616;169649
587.0s : 418.243m/z;0;0;0;0;0;0;0;0;0;0;259792;267472;273173;263312;236879;232558;243312;226394;133079;201904;210326;241401;218539;116614;76554;210728;270462;245942;289356;231400;269711;170024;256628;180315;249413;141858;207472;0;197746;211923;216745;164095;132339;220313;112939;146429;0;0;258975;219803;207163;208125;205849;229127;260595;273499;240631;230424;210343;207245;233147;208064;178357;141011;284326;202934;191145;263187;212456;232319;145557;167574;244704;175855;218882;184439;253064;189244;274023;212588;196794;131679;157101;248687;199144;129394;115725;215245;138796;194175;118005;244891;201436;148969;145511;203869
587.1s : 401.216m/z;0;0;0;0;0;0;0;0;0;0;842589;898072;876236;576600;479763;482518;606607;417994;177561;334440;378810;435164;341568;132611;0;316011;579630;451188;981036;426437;821405;248442;481521;256656;480573;179752;417470;0;333026;435292;505747;221040;173155;492638;139136;188844;0;0;688241;423913;347514;376060;356917;529325;744353;881852;438520;539178;349770;310785;600230;388733;251343;181135;889076;346829;284837;754331;372974;569656;203285;249527;745221;288703;337065;301766;450620;339620;998043;394855;318741;167296;232104;712709;355820;170418;149185;364861;185396;390267;144586;804027;349175;216979;399661;316021
688.2s : 147.065m/z;0;0;0;0;0;0;0;0;0;0;292080;319988;275766;178651;179583;180508;200286;154112;110160;130090;134196;88928;161313;0;0;110628;200652;125313;323739;142339;328376;109243;187653;92830;273089;154232;352141;131902;212982;221587;357727;128113;225376;255076;175536;160814;0;0;241268;157018;124346;151116;142029;206469;262557;265401;166383;196835;128757;121021;312196;194415;123056;153713;328525;217046;174864;396652;191525;282514;182479;141631;359650;147119;184456;111213;203846;164805;292590;201544;140396;141420;176235;282204;149673;72902;0;128972;81114;213187;70540;269453;143295;98778;204489;91485
688.2s : 129.055m/z;0;0;0;0;0;0;0;0;0;0;183959;209055;170110;110200;116308;111689;120303;93787;70306;79803;82529;0;104258;0;0;71628;123857;80540;192645;94809;205725;66259;119100;0;178236;94739;223122;84021;141452;143122;222131;81506;144933;156288;108395;103781;0;0;156476;101422;73914;96910;90266;134215;162788;164945;103175;133346;84541;76449;196117;124732;80706;97198;201100;136085;112621;241885;126083;170601;118143;87004;220234;87928;116179;76076;125543;101688;187779;128530;88439;85450;106615;174530;92406;0;0;85575;0;132224;0;162121;96924;58592;136059;0
887.0s : 509.404m/z;0;35998;46734;37127;83463;0;37340;0;0;0;0;62967;0;0;62138;0;112083;54466;52637;48598;96469;36740;62778;0;0;64608;74435;64651;0;65554;0;0;46495;98935;0;36040;0;57360;53136;37555;0;0;139487;38658;0;49952;0;0;0;60201;43904;59067;65356;42144;0;39524;70948;46895;43296;48635;60577;85798;47000;52808;0;0;0;0;0;0;57445;0;0;44845;51284;57845;50457;81272;133788;0;45879;54093;65925;0;79901;0;0;66074;0;0;67152;0;91091;0;0;58001
900.0s : 702.535m/z;0;44427;53044;44057;66306;31080;42458;0;0;0;0;0;0;29642;59871;0;85890;43422;0;43891;68589;33959;51262;0;0;59222;65337;78030;0;51737;0;0;31020;62702;31298;32600;0;47275;72475;0;0;0;114091;35983;0;54904;0;0;0;52350;39002;67697;60104;59977;0;0;56627;45834;0;45029;60015;82265;35000;40918;0;0;27560;0;34453;0;49496;0;0;41702;48859;44285;64776;93012;0;0;45714;40172;54839;0;66526;0;0;71713;0;0;71949;0;77946;0;0;55452
918.6s : 663.464m/z;0;55648;72917;68613;40468;0;55509;0;45786;0;0;0;0;0;46998;0;89005;55650;37173;59094;79293;38505;71881;0;0;70662;42009;51614;35820;64863;0;0;40443;80900;40927;53497;60378;58987;60485;0;0;0;112401;0;34955;66364;0;0;0;65987;53187;72914;71414;47555;0;41202;75336;56208;42666;61466;60249;87144;58307;53642;0;0;0;0;47274;47839;67917;0;0;61968;69200;62076;55704;89000;0;0;64961;47452;64883;0;75105;0;38316;54826;0;0;48812;0;67655;0;0;70662
886.3s : 553.430m/z;0;39751;49844;39898;87414;0;40918;0;0;31828;0;54996;0;0;70202;0;115926;52244;46346;50529;91640;38998;62814;0;0;70692;82792;81495;0;64809;0;0;43343;92198;0;0;34265;58962;62394;30877;0;0;136111;42438;0;51414;0;0;0;62883;44361;66322;66733;49235;0;40793;66593;49187;38068;50209;62358;90408;42512;52865;0;0;0;0;34735;0;58416;0;0;47076;58022;57960;61884;93614;100783;0;47101;50766;66820;0;78033;0;0;77921;0;0;75285;0;94359;0;0;60193
881.3s : 790.587m/z;0;35469;43181;33354;61122;30208;34770;0;0;0;0;0;0;27964;53650;0;53676;34169;0;28655;45281;28012;33443;0;0;46206;65347;71040;0;38026;0;0;27033;38393;0;0;0;39449;57603;0;0;0;67481;39810;0;43305;0;0;0;35971;27553;54847;42920;57451;0;0;34921;34819;0;30308;50752;53734;0;27940;0;0;0;0;29188;0;33719;0;0;30643;36116;31748;53228;69617;0;0;33637;27276;38315;0;49072;0;0;59780;26970;0;55648;0;59200;0;0;42823
922.1s : 509.404m/z;0;53766;88499;79351;0;0;52122;0;64297;0;0;0;0;0;53298;0;211795;79588;76956;94915;175867;46444;114866;0;38633;102614;0;59242;0;101780;0;0;62698;179821;50280;86313;79029;78625;63206;68966;0;48885;333619;0;48396;82513;0;0;0;102078;78399;89363;112666;49616;0;70278;139849;75696;89350;88469;74358;156282;110763;87271;0;0;41600;0;48317;40996;121492;0;0;80510;77482;113189;70230;129180;76212;44644;92459;75423;100518;0;118979;0;44987;73961;0;0;52585;0;118642;43420;0;102175
921.2s : 575.412m/z;0;52985;70861;68337;0;0;50072;0;51801;0;0;0;0;0;41925;0;109040;59582;53397;65792;93144;0;83502;0;0;79104;0;51880;0;73641;0;37497;47806;101613;41007;62295;70067;61015;57806;46039;0;0;130290;0;39840;65421;0;0;0;75099;57823;69627;80844;41850;0;49988;87648;60689;58240;67364;55534;96668;75799;63747;0;0;0;0;43446;43696;81242;0;0;68262;71512;74885;56751;91236;0;0;70381;54665;76545;0;86172;0;38725;55709;0;0;45162;0;83446;0;0;74496
688.2s : 259.190m/z;0;0;0;0;0;0;0;0;0;0;217305;230891;204489;139173;144933;140792;155706;122352;86725;103982;104244;0;131724;0;0;93314;152986;106767;241304;118809;241702;0;149650;0;216889;123584;266755;106113;166856;171077;260133;102774;179370;202103;141509;125254;0;0;185680;120310;105009;122526;104701;166323;194514;188857;135632;150460;110223;99094;233085;148261;99501;124461;247458;155123;148780;291083;153767;211931;145762;110727;261825;116118;142893;91671;157199;130387;218963;153318;117864;112174;130487;206854;119398;0;0;109239;0;156151;0;195426;120284;0;152570;0
264.3s : 245.138m/z;53235;0;0;0;264126;0;0;0;0;102247;652433;633978;506081;245508;276721;266302;337196;230025;0;0;112916;0;316706;0;0;100932;553438;258822;656471;263165;616594;80511;351455;0;348000;0;384211;0;336496;329777;621365;0;321512;457382;93763;93863;0;0;310335;247971;92774;272816;113928;384047;496038;448260;114850;358917;113958;0;512981;255982;0;92615;517127;269644;0;550595;280464;457355;109981;0;714692;258023;265626;0;333621;299932;594617;313525;119104;118571;129749;392581;265304;87120;0;245961;254081;461731;100609;408061;110969;95946;370860;0
539.3s : 390.212m/z;0;0;0;0;0;0;0;0;0;0;129704;133047;119947;77323;78901;85246;101615;79081;0;70353;86157;56751;72244;0;0;68653;117147;73804;126186;79205;110889;63189;95265;64895;66372;0;56759;0;68371;86372;97028;0;0;89524;0;52995;0;0;79898;89009;77746;80270;86009;95015;111573;110984;77356;111884;77838;62160;102200;88902;71402;58482;123859;80694;0;115839;88770;100228;67364;60385;138430;82920;77148;61580;90596;80919;124987;69808;80751;67254;0;82787;70114;0;0;70111;0;77536;0;76243;62485;61509;0;0
